reviews,country,date,cleaned_reviews,sentiment_score,review_category
"There was a hairline scratch on the screen which is not clearly visible directly. When we tried contacting Amazon for the replacement, they asked us to connect to apple and when connected to apple, they asked to connect with Amazon. Blame game begins and we end up paying the price. Awfull service. I am going to tag on the social media both Amazon and apple. Such a big scam",India,6-February-2022,hairlin scratch screen clearli visibl directli tri contact amazon replac ask us connect appl connect appl ask connect amazon blame game begin end pay price awful servic go tag social media amazon appl big scam,-0.6437,negative
This product is duplicate of iPhone 12 only camera design changed. Very low quality of this product Buy Samsung mobile phone,India,27-September-2021,product duplic iphon 12 camera design chang low qualiti product buy samsung mobil phone,-0.3384,negative
You should be a bigggggg bot to buy this phoneYou could get iPhone 12 Pro that’s the best 😂,India,27-September-2021,bigggggg bot buy phoney could get iphon 12 pro that best ,0.7964,positive
"Just but iphone 12!It’s not worth the money!Unless ur from BJP or something where you’re full with corrupt money, then go ahead.",India,24-September-2021,iphon 12it worth moneyunless ur bjp someth your full corrupt money go ahead,-0.3783,negative
i am poor and i cant afford it lmao xdxdxdxdxd so if you have money to flex buy it i am bored thats why i am writing this review while drinking coffee i have my chemistry exam on  manday and cant study mole concept and got bored thats why i came here to write this review if you read this review til here very good you justt wasted your time now go and do something productive :),India,24-September-2021,poor cant afford lmao xdxdxdxdxd money flex buy bore that write review drink coffe chemistri exam manday cant studi mole concept got bore that came write review read review til good justt wast time go someth product ,-0.7545,negative
"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",India,25-September-2021,honest review go broke buy depreci objecti use android phone sinc last 10 year final decid switch iphon use roast iphon price lack featur also thing like power adapt given box etc last android phone iqoo 7 legend lot softwar relat issu batteri issu updat android 12 tire bug softwar glitch android final decid buy iphon switch android io boy righti never even held iphon life price made great choic even spend save itiphon 13 smooth even iqoo 7 legend 120hz feel slower even iphon 60hz cant believ im see gamesapp much smoother optimis androidi sceptic charg speed iphon iqoo 66w fast charger iphon buy 20w separ fast charger 1800r charg speed isnt disappointingdisplay qualiti truli flagship level im quit fan small 61 display believ abl reach top display one hand help build qualiti greati would recommend wast extra 40k buy 13 pro dont think extra camera telephoto len worth spend 40kyou see 3rd imag attach qualiti wide angl camera pic shot iphon 13 wide angl camera struggl low light main camera realli good captur true colour front camera realli good truli flagshipspeak greatbatteri life better previou devicesio optimis term batteri life easi 8hr sot normal usagenot play bgmi loos around 2 batteri everi 6minut hd extrem graphic also good pro max would far better term batteryfor softwar ye feel like downsid even softwar smooth less bug two annoy thing game get paus open control centr check batteri etc lock screen annoy also reach top left corner see notif also annoy clear notif also annoyingbut perfect 1010 purchas disappoint paid iphon receiv truli happi bought ittruli worth,0.9973,positive
I do not have money that I can get a phone but I have a dream to get a phone which will definitely be fulfilled one day,India,25-September-2021,money get phone dream get phone definit fulfil one day,0.8674,positive
Same as I phone 12 😑. Who so ever is reading this review I suggest go for I phone 12,India,6-February-2022,phone 12 ever read review suggest go phone 12,0.0,neutral
"Apple Marketing has done quite a good job month after month to keep people on their toes with their new launches where there is nothing great about this phone. I have been on Android for almost inception of phones and switching to iPhone is just a pain.1. No guide or help to transfer your critical data(Move to iOS doesnt work at all with high amount of data transfer.If you want to buy, go to brick and motor shop and get your data transfer then and there.2. Over hyped phone, nothing great i have found in the phone. May be i will find it better.3. Total stuck with ecosystem.4. At 90K they don't provide charger and are selling the same as extra. Total cheap strategy to earn more and promote their magsafe.I am not a happy customer till now! In a world where we talk about openness and open for integration, apple gives you a kind of black box... Boo to Apple!",India,25-September-2021,appl market done quit good job month month keep peopl toe new launch noth great phone android almost incept phone switch iphon pain1 guid help transfer critic datamov io doesnt work high amount data transferif want buy go brick motor shop get data transfer there2 hype phone noth great found phone may find better3 total stuck ecosystem4 90k dont provid charger sell extra total cheap strategi earn promot magsafei happi custom till world talk open open integr appl give kind black box boo appl,-0.8578,negative
Just got this beautiful machine really happy no issues. Battery backup on iphone 13 is so good on a regular usage I'm getting 1 and half day easily. Camera is much improved with some new features. Iphone 13 has better display not a huge difference to notice but it's better. I like diagonal camera setup on iphone 13(personal choice).Really happy with this one.,India,25-September-2021,got beauti machin realli happi issu batteri backup iphon 13 good regular usag im get 1 half day easili camera much improv new featur iphon 13 better display huge differ notic better like diagon camera setup iphon 13person choicer happi one,0.9695,positive
"There was a hairline scratch on the screen which is not clearly visible directly. When we tried contacting Amazon for the replacement, they asked us to connect to apple and when connected to apple, they asked to connect with Amazon. Blame game begins and we end up paying the price. Awfull service. I am going to tag on the social media both Amazon and apple. Such a big scam",India,6-February-2022,hairlin scratch screen clearli visibl directli tri contact amazon replac ask us connect appl connect appl ask connect amazon blame game begin end pay price awful servic go tag social media amazon appl big scam,-0.6437,negative
This product is duplicate of iPhone 12 only camera design changed. Very low quality of this product Buy Samsung mobile phone,India,27-September-2021,product duplic iphon 12 camera design chang low qualiti product buy samsung mobil phone,-0.3384,negative
You should be a bigggggg bot to buy this phoneYou could get iPhone 12 Pro that’s the best 😂,India,27-September-2021,bigggggg bot buy phoney could get iphon 12 pro that best ,0.7964,positive
"Just but iphone 12!It’s not worth the money!Unless ur from BJP or something where you’re full with corrupt money, then go ahead.",India,24-September-2021,iphon 12it worth moneyunless ur bjp someth your full corrupt money go ahead,-0.3783,negative
i am poor and i cant afford it lmao xdxdxdxdxd so if you have money to flex buy it i am bored thats why i am writing this review while drinking coffee i have my chemistry exam on  manday and cant study mole concept and got bored thats why i came here to write this review if you read this review til here very good you justt wasted your time now go and do something productive :),India,24-September-2021,poor cant afford lmao xdxdxdxdxd money flex buy bore that write review drink coffe chemistri exam manday cant studi mole concept got bore that came write review read review til good justt wast time go someth product ,-0.7545,negative
"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",India,25-September-2021,honest review go broke buy depreci objecti use android phone sinc last 10 year final decid switch iphon use roast iphon price lack featur also thing like power adapt given box etc last android phone iqoo 7 legend lot softwar relat issu batteri issu updat android 12 tire bug softwar glitch android final decid buy iphon switch android io boy righti never even held iphon life price made great choic even spend save itiphon 13 smooth even iqoo 7 legend 120hz feel slower even iphon 60hz cant believ im see gamesapp much smoother optimis androidi sceptic charg speed iphon iqoo 66w fast charger iphon buy 20w separ fast charger 1800r charg speed isnt disappointingdisplay qualiti truli flagship level im quit fan small 61 display believ abl reach top display one hand help build qualiti greati would recommend wast extra 40k buy 13 pro dont think extra camera telephoto len worth spend 40kyou see 3rd imag attach qualiti wide angl camera pic shot iphon 13 wide angl camera struggl low light main camera realli good captur true colour front camera realli good truli flagshipspeak greatbatteri life better previou devicesio optimis term batteri life easi 8hr sot normal usagenot play bgmi loos around 2 batteri everi 6minut hd extrem graphic also good pro max would far better term batteryfor softwar ye feel like downsid even softwar smooth less bug two annoy thing game get paus open control centr check batteri etc lock screen annoy also reach top left corner see notif also annoy clear notif also annoyingbut perfect 1010 purchas disappoint paid iphon receiv truli happi bought ittruli worth,0.9973,positive
I do not have money that I can get a phone but I have a dream to get a phone which will definitely be fulfilled one day,India,25-September-2021,money get phone dream get phone definit fulfil one day,0.8674,positive
Same as I phone 12 😑. Who so ever is reading this review I suggest go for I phone 12,India,6-February-2022,phone 12 ever read review suggest go phone 12,0.0,neutral
"Apple Marketing has done quite a good job month after month to keep people on their toes with their new launches where there is nothing great about this phone. I have been on Android for almost inception of phones and switching to iPhone is just a pain.1. No guide or help to transfer your critical data(Move to iOS doesnt work at all with high amount of data transfer.If you want to buy, go to brick and motor shop and get your data transfer then and there.2. Over hyped phone, nothing great i have found in the phone. May be i will find it better.3. Total stuck with ecosystem.4. At 90K they don't provide charger and are selling the same as extra. Total cheap strategy to earn more and promote their magsafe.I am not a happy customer till now! In a world where we talk about openness and open for integration, apple gives you a kind of black box... Boo to Apple!",India,25-September-2021,appl market done quit good job month month keep peopl toe new launch noth great phone android almost incept phone switch iphon pain1 guid help transfer critic datamov io doesnt work high amount data transferif want buy go brick motor shop get data transfer there2 hype phone noth great found phone may find better3 total stuck ecosystem4 90k dont provid charger sell extra total cheap strategi earn promot magsafei happi custom till world talk open open integr appl give kind black box boo appl,-0.8578,negative
Just got this beautiful machine really happy no issues. Battery backup on iphone 13 is so good on a regular usage I'm getting 1 and half day easily. Camera is much improved with some new features. Iphone 13 has better display not a huge difference to notice but it's better. I like diagonal camera setup on iphone 13(personal choice).Really happy with this one.,India,25-September-2021,got beauti machin realli happi issu batteri backup iphon 13 good regular usag im get 1 half day easili camera much improv new featur iphon 13 better display huge differ notic better like diagon camera setup iphon 13person choicer happi one,0.9695,positive
